,cleaned
12874,install displayed installing citect cannot installed attachment os windows10 pro version 1909 os build 18363449 ver citect2016 license key 048130280
12921,scada server gradually slows connected ring network network ring configuration
12930,ciusafe shows unknown product activating license gets key updated successfull products empty pruduct ciusafe unknown key number 048135693 site id 81360 cause product added key
12955,activate license floating license manager wrong date shown license activation failed connect schneider electric license server provate connection schneider electric license server cannot br established computers date time incorrect change date time try later
12984,testing prod ignore testing prod ignore
12986,alarm online upgrade si datapolis testing online upgrade site jademo ordered cf contract v720 hf720sp563580 system everything according citect scada 720 citect scada 2018 r2 820 upgrade guidepdf synch process seems go fine without entries seen v820 november update system peer connection import almsavedat sqldbx check backend database test system available teamviewer anyone assist find ot wrong additional information available cause addressed bug 857750
12988,testing prod ignore testing prod ignore
13015,possibility connect new version older server possible connect new version older server means citect scada 2018 version citect scada server 2016 combination advise whether anticipate compatibility document available define citect 2018 compatibility citect
13023,alarm row editing elomatic oy site id 59416 cf 140997 si number si306424 following question alarm row editing eg increase 1920 width come dark blue base etc screenshot details
13028,76811972 amz maximum number trend alarms tags allowed per cluster per tn7004 tn5189 provide information older versions citectscada limits citect scada 810 820
13039,citect scada 82 dllopen needs write citect dll created visual studio cicode follows int hansiupper function mydlls open dll ansiupper testlibdll test int sresult int cresult int tag11 end debugged cicode step stepit displayed errpagedllopen errdescmydlls dll
13061,citect 740 os compatibility matrix server 2016 find compatibility matrix 2018 states citect 740 support windows 2016 server confirmed time update citect 740 works 2016 server
13063,serverinfo manage redundant
13070,citect scada 80 trend server exception aveva expert citect 80 os server 2012 r2 version 63 trend server frequently crashed key serial 048117891 logs
13118,alarm control maintaining trend scale questions telemetry process controls agreement id 36951 figure easiest way add alarm banner andor history page new testing hes incorporated alarm lists example projects get compile hes including graphics cicode files associated alarm lists gets compile saying missing various elements time addressed whole example included looking something missing requirement get alarm banner working also working trending created various trending pages available templates templates allow users set pens variable tags set value time scales page shutdown reopened pen designations retained manually set scales manually adjust scale pens runtime next time open page scale back default worked around copying pen scaling info retentive tags page shut resetting pen scaling page reopening wondering easier way
13156,76768153 pso2020r2 software protection citect runtime exception report generated faced software protection citect runtime secondary server redundant system system running full process service want cause software protection failure screenshot license details comments cause watchdog enabled ini parameter
13179,unite ofs driver master following documented citects unitel driver citect scada acts slave uni telway network must configure another unit network acting network master maximum length unitel protocol 192 bits possible unite driver working unitelway master wonder supported ofs
13183,summary alarm filter dialog partial russian translation display
13184,print engine failed initialize internet explorer alarm printing alarm raised export text every cause exec roles bug 62630 sql function
13186,citectscada ciusafe update failed 102 return code update failed 102 updating key
13187,whq5596 users sometimes experiencing bad experiencing communication issued io server get bad logged present logged
13201,whq5599 users thrown login users cant log thrown users thrown may occurred conjunction restart primary standby server according colleague mine done debugging says domain controller windows built citect ie mixed users
13202,citect scada devicesformat max character limit elomatic oy site id 59416 cf 140997 si number si306424 store alarms sql database run devices format max character limit screenshot
13215,cas02620v9z9n3 clients connect citect server simultaneously configured server pc pc control room installed citect server server pcs connected full server dongle server pc addition installed citect runtime pcs connected dongle pc two run simultaneously configuration seems reason wants connect server server dongles support additional except built license think server dongles support default support additional ordered dongles view control expect server licenses support least unlimited clients checked previous versions also updated software latest versions citect kernel clearly showing two clients connect servers server second second server third connect servers support
13219,cas02621d3m5f3 tag import twincat db citectscada backhoff plc twincat already mentioned connection citect scada twincat beckhoff plc connected via ethercat computer windows 10 twincat citect scada installed communication realized directly via ads interface beckhoff everything configured according twincat oi server guide download aveva support page tested tcadstestexe also provided beckhoff added ams route seems without problems sent instructions talking new created citect scada beckhoff twincat driver selected via device communications wizard according driver reference settings made 851 since concerns twincat special opt ams entered picture want import variables tags make appropriate settings io device database type twincat appears note tags cannot imported unfortunately driver reference us either detailed instruction establish connection citectscada twincat3 could show us procedure
13272,dnpr driver dnpr communication
13275,alarm configuration edit changes stored alarm server updated alarm tags modifications example change citect studio alarm tag v051i001 custom field value test saved compiled run time run time alarm page displayed column custom value v051msg2 instead value test configuration alarm tag v051i001
13287,cas02654t8f3f7 license opc ua function connection citect scada beckhoff done via opc ua connection seems successful active listed data read written plc via citect scada application however seconds approx 3060s appears license
13289,non responding upgraded citect scada v72 redundancy v82update feature seems perfect running awhile primarystandby server nonresponding randomly upgrade doesnt less minute back online video system serversprimary standby pc monitors
13291,deployment cictect clients show deployment server cant assign new version cause changed domain
13322,citect instalation operators machines question order citect run operating system restrictions appropriate accountuser group normal operation
13326,configure opc ua security kepware opc ua server certificates seemed working correctly configure test isnt security works signandencrypt basic256 cannot get certificate correctly
13338,maximum size display template limit maximum number characters lines displaying tab style text display template style tabstyle1 template
13342,screen updated web changes done pages dont get reflected web deployment web pages get reflected however delete folder web machine web deployment changes pages get reflected
13364,recommended network topology remote access via citect anywhere rdp redundant servers recommended architecture ca redundancy
13398,whq5629 resize super genie projects machine try open super genie 600 500 pixels asswin supergenie 1001001 64 want resize super genie winsize500500 super genie becomes smaller height information right super genie disepears outside viewable area want scales super genie becomes smaller width height also keps aspect ratio everything supergenie still viewable cant figure works looked ini parameters projects cant find anything anything
13404,whq5621 citect server two network connections citect server two network connections connect lan connect local lan plcs connected trace server happens asking possible citect cause bpdu packets jump network adapter another essentially causing bridge possibility citect communicates plcs local lan citect clients lan cause maybe related way two subnet
13408,citectscada ww historian info citect connector ww historian redundancy
13411,report saving report log skipped
13418,convert old history csv convert old history csv
13423,cas02675r3s8v4 trending logs possibility takes directly tags tab variables system model trends quick elegant way data trendview cached still two messages appear constantly however everything works could reason
13426,upgrade 73 2018 alarms asking upgrade v73 2018 alarms skip upgrade step v74 upgrade 2018 case
13459,activate demo license february activate feb demo license schneider electric floating license manager v2520 get license activation component detected denied schneider electric license server includes license enough remaining usage rights license selection selected specify count directed license pdf
13507,whq5666 citect shuts software protection running update 38 floating license manager v2520 key key id 45518 key serial a2mrycg9xvm5r site id 57132 sometimes citect shutsdown software protection logs says following 20210129 094921325 0100 local license doesnt support run time key failure 20210129 094921325 0100 shutdown software protection failure line 1468 cause lmadmin crashing
13568,touchscreen keypad saw available however nothing happens click download option wants enable keypad operator entry touchscreen
13594,cas02724q9h2p8 check box runtime service configurator causes finding wanted explain repeat everyone server dongle dongles clients supposed find licenses locally pc dongle case find local license unrelated check box configurator check box runtime service unchecking checkbox server clients solved clients could recognize license seems big bug software mentioned catalogues manuals checkbox make dongle keys
13605,documentation available functions provide documentation functions
13617,multiple simultaneous sql connections citect process multiple time sql many opened connections
13623,documentation csvinclude csvadmintools page elomatic oy site id 59416 cf 140997 si number si306424 following question provide documentation configuration csvinclude csvadmintools page br guntars
13624,graphics displaying information correctly working several windowspages displaying graphics sorts button clicks hovers display information button works graphics symbols get information different machine says fine backup application want take look doesnt make sense
13638,cas02703m9n3k2 failure server services server lxl114s01 chrome mode lanxess server crash weekend site id 72999 discussed data current server services outage server lxl114s01 chrome mode
13640,cas02704l6z1l6 changed setpoints displayed logged soe page wants setpoint changes soe page
13641,cas02705g5s1b6 update 0320 system management server cannot configure sms cause possibly
13661,license key update two license keys update appears tech note tn8338 receive update failed seven digit number ciusafe licenses question 048032015 048039997
13674,calculating flow rate meter value coming citect scada whats way calculate flow rate gpm application
13697,mitsubishi q25prh set io devices servers melsecq plc redundancy gateway
13716,citectscada errorincmd3 16 generic 000008 driver 2146959355 0x80080005 dcom 0x80080005 connecting opc da server cause dcom properly set
13737,opc redundancy could provide information citect 2018 r1 handles opc redundancy primary secondary opc servers case citect driver version citect opc driver version 20490 communicating simatic net server version v130 sp2 specifically loss connection active opc server detected citect perform failover secondary opc server vic versa connection opc server active active failover seamless interruption service data flow cached secondary connection data retrieved cache failover opc server still running server failing respond citect determine active data passed intiating failover secondary opc server
13740,cannot save data month cannot save data month find two application
13763,alarm indicators alarm indicators part genies projects group created genie alarm indicator tab selected options include alarm indicator clicking checkbox upper left corner method group always displays large indicator alarm priorities section setup defined genie small genie assignment alarm indicator graphics object always seems select genie priorities table way cause graphics object small genie instead genie screen shot hopefully add clarity question
13777,citect scada support mqtt data transfer could determine category submit question system running wonderware historian citect scada 2018 r2 asking system include capability publish subscribe mqtt messages enterprise mqtt broker done general internet searches thought saw reference citect mqtt find supporting documennt answer question
13811,citectscada cannot supply licence citect couldnt find restart reason starting demo mode cause maybe system sleep mode
13813,load dynamic pngbmp network path display runtime show dynamic picture runtime
13835,solutionspt case 00100016472 citect scada local global module variables interaction multiprocess variables whatever type within following variables ok three images local variables module variables told test functionality making changes live system ref case number 0002901554 similar situation
13841,definition monitor display deployment notification new version available define monitor multimonitor scada display deployment notification new version available sxwstyle starter define monitor default popup
13854,whq5756 deployment cannot locate include included unc path failure deploying look clients syslog says shutdown cannot locate include xsnowflake cause reported bug 66860 deployed projects looking wrongly locations mentioned includerdb
13861,problemas upgrade citect v73 citect 2018 r2 modnet se realizo un upgrade desde v73 2018r2 de forma exitosa el sistema se conecta cuatro plc en la version 2018 se pierde comunicación de forma total con un plc con los demás se tiene intermitencias en la comunicación plc modnet perdida total plc modnet 30 intermitencia plc modent 30 intermitencia plc modnet 30 intermitencia en estos momentos se encuentran los dos sistemas funcionando en paralelo la versión 73 presenta los problemas de comunicación
13951,connection citect hmi aveva historian citect hmi connect aveva historian historian connector buy options
13971,license upgrade licences upgraded citect scada 2018 r2 flm version 21 couldnt install activate licenses installed flm version 24 license activated version mismatch window requires us upgrade licenses version citect installed via license generator portal havent got feedback yet two days cause support
14021,alarm filtering performance call alarm active alarm aggregate alarm soe screen perform cluster level filter takes minutes display filter result filtering equipment hierarchy considered practical users slow check videos checked kernel writing processing queue appears new task starting selected equipment make filtering efficient equipment hierarchy
14025,accumulator working want accumulator citect scada 2016 want total number digital signal attaching scada review needful cause report server defined
14092,alarms logged upgrading 2018 r2 2112021 sent instructions correct compilation warnings
14105,mixing point count softlicenses questions belgium usbdongles possible mix point counts licenses datapolis asks softkey 15k server control clients 5000 tags control clients 500 tags clients present part total installation page general kernel shows point count say possible confirm people looking options make things cheaper thought something specifically dutch belgiums imo realized dedicated usbdongles connect locally machine technote knowledgebase states
14197,upgrading license citectscada process upgrading hmis citect scada 73 citect scada 2016 v8 confirm licenses citect v73 citect 2016 v8 regard fernando carreño
14212,open ports schneider electric floating license manager firewall ports needed open schneider electric floating license manager online license activation firewall
14239,opc citect scada system connected many modbus devices also opc connections works io servise crash 80 ot cases may something missing configuration disable connetctions works fine doesnt metter cause opc configuration dcom
14268,soe alarm displaying slow large citect running redundant servers load sharing architecture clusters filter equipment soe alarm page take 13 min noticed alarms displaying active alarm page recorded soe seems alarm servers performance solve create clusters 46000 alarms total divided clusters
14274,implement acccontrol accumulators writes memory tags reset accumulators acccontrol function cicode accumulators tags resetting write variable let implement accumulator resetting acccontrol requires login calling cicode function
14280,tagwrite working function control multiple tags based certain condition tagwrite function loop cicode function calling functioning writing variable tag logged triggering implement tagwrite cicode
14320,reopening pages reboot multimonitor question reopen pages reboot multimonitor tabstyle
14344,tasknew function behaviore login application executes task starting application tasknew function logout task stops normal
14360,solutionspt case 00100017029 citect scada unstable redundancy december patch installed asked put february well found seeing intermittent behaviour redundancy configuration wants make stable sent logs confirm hosts files correct windows system time synchronized ping via hostname ip ping returns correct ipv6 turned static ips produced fresh logs wondered anything suggest appear still coms things listed havent resolved behaviour cause tran redundant alarm server going view standby mode node
14367,whq5894 avoid duplicate control way avoid duplicate control
14369,whq5907 s7tcp åäö si symbolic tag addressing s7tcp communication works except variables contains characters ive gone s7tcp driver reference say support special charactersis way rename tag addressing
14393,multimonitor configuration dont properly multimonitor csvinclude compatibility
14409,whq5942 fail configure system management server si setup server system management server end customers environment installed citect update yet cannot solve read bug fixes operating system virtual machine windows server 2012 domain server read configuration feels add privilege somewhere
14452,whq5949 ioserver exception yesterday io server crashed oatlys primary server ive clips log files around time happened told problems clients several minutes standby server took could boot io server rtm instead colleague christer restarted entire server 1800 everything kicked syslogdat says 20210218 15 58 29037 01 00 exception exception occurred relevant files created however find files created connection thing found exception report debuglog found citect 2018 r2 update 13 installed windows server 2016 vm taken copy citects log files server apply want
14483,whq5923 deployment server access denied access denied create new version cause firewall rules
14499,download license response moving v75 server licensing machine another went offline activation process process activation however download local browser activations show none available get response get never download response processed ask download browser failed never got response licenses limbo
14511,opcua could open external database refresh tags completely disabled antivirus firewall video cause sure security well configured suggested check ini parameter
14559,vijeo citect 74 modnet driver starting port 502 modnet device connecting cause wireshark seems plc
14584,citect support iec61850 edition aveva expert already setup iec61850n driver 10706004 want confirm whether iec61850n editon1 supported pso supports edition described pso manual
14671,dont recognise license system cannot validate license
14706,77904423 possible install bacnet driver uninstall bacstac router windows installer package program run part setup finish expected contact support personnel package vendor reinstall bacnet driver may also uninstall bacstac router 66h control panel uninstall program possible workaround change registry cimetrics registry editor
14714,errorincmd3 générique 000021 pilote 00000020 0x00000014 communication citect unity simulator thirdparty modbus connect simulator another machine works correctly cause
14723,configuration web setting web citect scada 2016 800 followed video access web icon add new implementation edit implementation dont appear photo note standalone demo version citect scada 2016 v8 test purposes dont might lead web regard fernando carreño
14729,cas02835p2s3v4 class registered opc ua driver opc ua configuration complete io devices failed class registered opc ua server hardware card schneider m580 plc bme nua0100
14736,querying alarms takes much time filters applied complaining time elapsed querying alarms specifying filter cause big database
14754,pcmp io devices fail cannot locate pcmp library win 20162019 2012r2 earlier pcmp driver works fine 64bit compatible version pcmp api 2016 server 2019 server citect reports fails locate pcmp library currently running 2018r2 2012r2 servers remediate nothing untoward api perspective files appear present
14796,install excel dbf addin office 2019 pro prerequired office 2019 present normal 2018 version buy office 2019 correct installation addin excel ive installed
14853,cannot run citect 2242021 running expired license screen shot sent february demo license activation id running demo license without going conduct tests 2232021 remote session stand alone topology starting runtime normal mode processes except process tries connect stops runtime service mode every processes normally run minutes software protection popup mentioning key found license available network runtime continue run demo checked dongle key could read ciusafe application yes without note appeared installation windows updates security update microsoft windows kb4601395 update microsoft windows kb46001056 security update microsoft windows kb5001028 dont might cause already encountered similar citect stand alone impact spread available remote session want look gilles dubreuil
14897,redundancy status shown alarm set redundant servers wants status display shows server running primary backup also wants alarm system switches redundant server
14924,silent install floating license manager set silent installation float license manager
14934,whq6058 processanalyst export exporting trend data process analyst excel space numeric 1000 presented 000 cause format configuration regional settings windows
14940,driver snmp snmp citect runtime starts windows rights
14973,setting deployment server assume citect deployment server works make changes application deployment server push changes clients specific documentation configuring
15033,deployment always offline citect studio deployment computers new deployment appears offline deployment server cause configuration seems wrong
15137,alarm fields citect correspond fields historian wonderware product citect scada 2018 patch 28 histroian woderware 2017up3sp1p01 v30 uses citect connector record alarms historian wonderware example digital alarm fields comment may different historian depending state alarms unackrtn unackalm normal field alarm desc appear historian database choosing save alarms historian wonderware citect continue save locally
15140,exception runtime trend server trend server crashes warning 185764 greater double numberoftrends 15507
15167,upgrade 2015 2018r2 scadaware normal illinois thy upgrading 2015 redundant environment changed ini 7500 upgraded primary node failover redundant partner still 2015 doesnt pick normal behavior redundancy enabled untiled partner also upgraded 2018r2 redundant partner pick since set
15169,microsoft web browser activex im developing im microsoft web browser activex graphics builder page runtime every time open page popup script appears internet explorer browser url everything ok appears
15178,distribute io servers different machines application server 1500 tags two web control licences computer io server trends reports alarm could computer another io server trend server means system independents io trends servers io server inside principal computer io server inside computer arent redundants possible setup inside citect
15185,large graphic page im developed final costumer graphic page displayed extended monitors 1920x1080 itch citect went screen profiles create profile 3804x1080 main goal page occupies full area monitors
15219,plot variables external database plot variables external db mysql citect server 1500 tags mysql database inside external controler citect offline database recording soon citect became online plot datas searched mysql database possible
15264,opening trend gets whileopening assist gets whileopening try open trends cause path substitution trend configuration
15280,licensing usb key 342021 wrong authorization code updated correct code resolved license new usb key plugged computer information gone procedure properly update failed call directly assist licensing computer theyre siteid 176800 right key shows product unknown ciusafe put authorization code get update failed key information serial 048125105 authorization code aveva license generator website gives isaac novosad electrical engineer 5301 north 57th street lincoln ne 68507 phone 4024646823 ext 1227 direct 4023235670
15329,question regarding licensing come back old increasingly occurring communicated topic beginning 2019 least since december software protection failure occurring frequently mail communication time else fix cause license version 75
15335,cas02887f4q1g7 pipette edit missing maresystems gmbh alliance cid 78116 248317 brachenfelder str 45 neumuenster applicable 24534 germany citect cf quote 141629 30sep2021 standard 248317 78116 citect graphics builder open new graphic color selection pipette edit missing installed citect 2018 r2 february update windows 10 home version 2004 os build 19041746 uses administrator account found net 48 displayed windows features wanted install afterwards appears version newer already installed
15357,data flashing bad runtime 382021 experiencing polling rate overrun ofs requesting much data plc respond timely manner resolve rate adapt selected communication overrun behaviour following screen shot 382021 sent things check sent ofs tech notes 352021 called john get information case scadaware normal il upgrading v75 v75 running parallel communicating opf opc says new 2018r2 update 14 io flashing thought could enter failonbaddata line opf section asked check citectini working system asked move new system changing paths se aveva says run citectini working v75 ctz io server related logfiles
15434,update failed 102 382021 sent scada support sales key replacement asked include screen shot 352021 performed authorization code update downloaded installed ciusafe still screen shot john look new dongle key site id 52152 systems integrator take look pictures looks might related license activation site
15523,modnet driver clients omv petrol modbus modnet driver set communication modbus device modbus serial tcp gateway time time 35 times minute bad suggested run test different modbus slave results packets lost modbus gateway throwing exception code 11 0b hex citect errorit may likely converter question keep exception passed optimization modnet driver parameters
15530,citect scada 2016 vm windows server 2012 today try upgrade host windowsserver 2008 r2 windowsserver 2019 upgrade try reconnect old vm scada server licence valid system change host try repairrequest refused nedd rapidly repair licence
15544,pso2020r2 usage technology citect scada 2018 r2 82 msxml citect scada 2018 r2 82 yes version think v30 v60 think confirm adobe flash playeri think confirm
15561,citect driver detected update windows update occurred restart cannot find serial drivers easy fix digging knowledge center cant seem find right
15631,demo license working demo license pdf contains serial number server doesnt activating floating license manager activate offline a2cd9cktc3mde
15690,msft deployment deploy files defined custom files deployment machine path
15730,trends flat lining following sr 960032025 confirms come back confirmed antivirus exclusions configured contains url uploaded new logs crash dump files
15733,animation conflict conflicting types animation hw alarm cause
15743,whq6226 opc da server doesnt installation update 14 reconnection opc da server
15775,questions regarding deleting licenses tn8463 tech note resolve updating v2016 licensing v2018r2 line tech note says stop schneide deamon via flexnet publisher web interface idea apparent mention steps something told fish around floating license manager happened stumble flexnet icon upon going flexnet site found dashboard administration luckily found article online gave default password adminadmin access administration could stop service nice tech note seems lot assumed anyway purpose confirm whether stop schneide deamon shutdown running system wants whether running wait time
15809,whq6241 bacnet setup halland site id 44187 approx 50 siemens duc connected desigo insight duc ip lon well siemens duc 11 sites 37 different subnets desigo insight connected sites via foreign device long run connect duc citect scada right wants read critical alarms desigo insight must parallel driver manage
15838,license 7288 license activated cause manual return license activation id two fulfillment id returned reactivate license
15863,arrays info arrays
15886,check tag state pend adven oy siteid 262751 following expression result true cases except tag value true things far tag state pend nottag1 tag0 tag0 check tag state pend br guntars
15912,citect hmi ofs license citect hmi license provide also license ofs standard citect license
15918,cas02960k6z6n3 custom fields timestamped alarms massive problems custom fields timestamped alarms citect scada 2018 r2 changes fields applied opaque fields initially applied cause normal behavior
15941,whq6287 sattbus port issuewhich port number sattbus128 also wonder find os driver supports
15963,process analyst set autoscale via automation model show eng units automatically labels configured variabledbf trenddbf
15978,citectscada alarm logging works aveva historian formally wonderware setup citect scada 2018 r2 citect scada connector wonderware historian update followed configuration per citect scada connector guideline didnt understand working alarm logging aveva historian anyone give details explanation per observation process record wonderware historian tool query query type alarm history alarm record available citect scada alarm page neither active alarm alarm summary share detailed also found bug reference l00159914 helpful
15998,citectscada 2018 r2 alarm server standby remains initialization alarm waiting alarm database initialization
16048,multimonitor setup doesnt p1 critical multimonitor setup got two vertical multimonitor setup doesnt scada display appear second monitor changing parameter multimonitor section scada display appears second monitor vertical setup however mouseclick tab button call graphics display appeared another monitor searched kbas found multimonitor however citect72 version applied changing parameter multimonitor section still didnt
16051,get computer primary alarm server trend server redundancy problems alarm server trend server get io server status kernel dont kown get computer primary alarm server trend server nic
16067,transfering floating license new computer si wants move two floating licenses old pc new working pc together nowsi worrying license activated else return go si account confirm old pc return two licences bougth different si registered enduser activate new pc entering activation codes
16084,restart connector overwrites historian tag configuration changes historian connector v30 restart connector overwrites historian tag configuration changes cause ongoing enhancement cr115405 case number 960052455
16098,failed activate license license activation component detect richland glass vineland nj review pictures looks might something citect license activation end
16122,whq6322 function possible store encrypted password encrypted password login later function userlogin apparently works example link another way store password encrypted encrypted password later
16137,tag returning bad ipsen inc citect site id 72360 running citect 2018 r2 update 14 upgraded abclx 40202 compact logix firmware 2812 array int tags working working entry box display enters value displays bad box enters value shows value box leaves page goes back value box goes back bad debug kernel received following going view io devices unit statistics available io server machine fact io server standalone machine available zoom session take look
16190,upgrade v720 v2018 downloaded tn10288 link attachment goes pdf upload box link
16195,roles v72 2018r2 492021 sent test result test results test result without following allowing exec adding following citectini adding security blockexec logging following replaced exec explorer capture log return executing exec explorer cicode function int errorcode errorcode exec explorer errlog returned execexplorer inttostr errorcode end following returned code 276 20210409 143522536 0500 returned execexplorer 276 20210409 143527622 0500 returned execexplorer 276 interpretation test result following allowing exec adding following citectini adding security blockexec logging following following returned code 20210409 144205904 0500 returned execexplorer 20210409 144854077 0500 returned execexplorer opened window 482021 security roles form set allow exec column true added following citectini security blockexec sent instruction set allow exec field true permitted users roles security casco systems cumberland upgraded v72 2018r2 update 14 says set roles access engineering functions says v72 working fine wants anything changed anything maybe citectini also wants documentation configure domain users currently citect security minor tip set time sync sync dns server says gets service cannot found
16219,cant filter alarms alarms template tab style projects pagealarm pagesummary filtering per category cause known bugs 60177 62088
16223,system tag tells server connected system tag tells server connected primary secondary
16251,de us 02994 support bacnet driver object type trend log bacnet devices field wago end ask possible read device via bacnet trend log information device store data connection citect device network read stored data device update citect history log object type trend log driver support object type oibaclite topserver
16277,excel dde following questions populating data excel sheet dde old computer worked new windows 10 citectscada 2018 r2 get version excel told run excel administrator excel spreadsheet pulls data citect dde syntax updated servers citect 2018 r2 windows 10 old servers whenever try update cells gives remote data accessible looked solutions enabling dde excel advanced options enabling dde citect ini nothing seems suggestions way dde server running citect realize dde outdated wanted anything could get working isaac novosad electrical engineer 5301 north 57th street lincoln ne 68507 phone 4024646823 ext 1227 direct 4023235670
16360,citect alarm server service starting 3312021 performed remote session tyler lipshutz corrected following forms topology computers network addresses ran computer setup wizard primary standby servers configure server authentication passwords resolved find reset sync showing testing network doesnt appear show anything wrong connection primary secondary machines im wondering assist question syslog machine internet well aptus control systems
16374,includes license enough remaining usage rights available code 7288 issuethe licenses citect scada demo version run generate new ones testing
16394,communication micrologix 1500 via df1 sent tech note tn6027 addresses cannot find serial drivers driver initialized 3222021 suggested ke communication protocol driver sent following download link ke communication protocol driver instructions access driver reference instructions completing boards ports forms instruction find pc computer port number currently running citect v6 communicating serially micrologix 1500 upgraded citect 2018r2 v6 appear ke500 driver communicate driver tn4226 helpful found link said abmlx driver dont 2018r2 abmlxeip v6 ctz take look heading back site next week id sure install usbserial adapter wasnt working time
16434,server automatic domain enviroment citect server automatically
16468,receiving delayed alarms alarms wrong timestamp opc iodevice plc sync time
16484,whq6443 login ad login connection citect anywhere cliants
16493,install bacnet driver windows server 2019 ntt next step awaiting clients feedback 632021 sent hotfix testing us feedback 5282021 sent hotfix via hightail 5252021 copy hot fix 5242021 developer comment status changed inwork resolved updated bacnet driver code interfaces according new bacstac v74e library regression test going resolve ims 572021 development team comment paras shah involved switching bacnet stack newer version discovered new version differences interface hence implementation testing take time completed implementation making several changes post testing take week 452021 update cr116094 narendar reddy cr owner 3312021 citect driver development team working software vendor cimetrics inc installation 3292021 3262021 723pm contacted software vendor cimetrics inc installation escalated development team change number cr116094 walkaround suggested cloning image server bacstac successfully installed restoring three servers problems 3262021 sent procedure try asked let result 3252021 ran installer options generate log installation completed successfully sent procedure screen shots asked rerun installer generate installation log asked us generated installation log 3242021 asked verify following network adapter installed pc machine network connection available p1 critical 1722 windows installer package program run part setup finish expected contact support personnel package vendor action location cprogram files command install cannot find link word understand windows system information sysinfotxt
16512,demo license activation demo license registration
16533,sxdirect devices coming online hardware alarms locate want make sure wire needs replaced vs something software got logs screenshots explain little
16559,citect 2016 inability communicate ab plc aoi udt abclx device come online
16596,open supergenie popup window run time info possible make script open supergenie popup window run time move mouse genie object
16623,data machine since patch installed two connect server citect update
16629,protection software failure web connecting web access web supervision page data certain moment telling license valid cause connection citect servers
16632,show alarms included sapec cf 75169 citect 2018 r2 update sxw context evolution application really probably architecture built included projects include part plant second another part plant theres cluster topology clients shows alarms wants show alarms included defined simpliest way revise application high production stopped due remote session possible downloaded application
16649,cas03015f9v4x8 autonavigate home display login sa projects avoidable wanted stay actual display login process logs actual display switchs main display function modified scripting needed function video cause loginlogout function needs refresh page reload privileges step possible save whole page pinned windows
16657,site id 25841 manager clients site id 25841 bluescope steel sinter plant looks originally manager licenses got increased 12 didnt get added secondary server license meaning failover happens connections drop get license updated server activation id entitlement id server details ard5ccd4fygd3 eefw9cb793h3c server details amvzzcn6lkucz eefw9cb793h3c
16664,cas03061x1b1n2 citect runtime crash modifying system time citect runtime crashes windows system time set according observations crash occurs larger time differences cause unclear cannot repro site changing system time days months could also repro hte example
16683,citect license s7tcp driver license activation failed v740 s7tcp demo license
16718,changing process analyst page window title dynamically hdr missoula mt citect support 137752 site id 72588 escalated case citect tier support case 00058651 change process analyst page title dynamically distributor industrial software solutions iss bothell wa go si si didnt current citect support iss hdr since reopen case traffic iss could attach size
16763,citect scada connector experimenting citect scada 2018 r2 aveva historian cannot push data type int real long historian bool string works fine stated picture citect scada connector plans future push data type int real long
16803,array size exceeded compiling get array size exceeded referring local string array s1256 compiles ver 75 advise make compile
16959,random loss communication citect opc server random communication failure driver opc
17010,ct103115 ct103215 part number upgrade part number ct103115 ct103215 answer yes tell part number pricing upgrade
17077,popup pin button search tool two questions way pin button allow pin popup page opened scrolling pages second anyway plan provide search tool search engine process allow search find equipments displayed programmed
17143,slow trend server shutdown startup following upgrade 72 citect 82 found trend shutdown processes much much slower altered watchtime 1000000 respectively times still order 10 minutes times systems 25000 trends system particular ended changing writewatchtime helped significantly without page table trendqueues indicated eventually run memory 90 time waiting around 20 acceptable practice things try improve performance setting value ps anti virus involved anymore checked earlier applies varying degrees several systems
17167,cas03104x8v4r7 adding sceduler display citect scada crashs adding sceduler display citect scada crashs run update 38 running citect runtime citect runtime crashs running update 38 add new sceduler new window citect scada crashs app updated years 2016 er version wanted modify application backnet components box virtual machine runs servers box dev runtime boxes different os doesnt appear cause bug 66491
17209,snmpii 0x12 opening snmp siteid 57667 time launch snmp driver tested snmpdbf different pc stations windows 10 professional citectscada 2018r2 0x12 opening snmp windows 10 corporate citectscada 2018r2 0x12 opening snmp windows 10 corporate citectscada 2018r2 udate march 0x12 opening snmp windows server 2016 citectscada 2018r2 upadte march 0x12 opening snmp main pc win serv 2016 0x12 snmpiiusev2c uses snmp communicate ups snmp
17225,displaying accumulators template page tabstyle displaying accumulators found template found cicode accumulator functions cicode programming reference cicode function categories accumulator functions contain usage example functions tn example
17229,opc ua refresh tags gives could open external database configurator set opc ua driver test connection successful connect citect opc ua simulator encryption express wizard add opc device refresh tags get could open external database appearing many fields connection string external database missing connection string studio following parameters missing updated connection string manually opc tags refreshed expected
17234,trends backfilling process analyst created case trend issuethanks support trend pens saved permanently every time add pens runtime trends going back process analyst screen shifting another page trend data looks missing backfilled
17311,citectscada aveva historian connector aveva historian 2020r2 citectscada aveva historian connector aveva historian 2020r2 supported сan get information connector performance
17380,driver rtp initialized 4142021 got necessary files rtp vendor migrated 75 82 cant get data rtp driver get startup driver rtp initialized found several tech note basic looked tn6027 citect cannot find serial drivers driver initialized old doesnt seem pertain rtp driver found tn8738 citect popup startup driver initialized want shutdown link said ms patch didnt resolve also tn9030 citect initializing driver 0x7e didnt code 0x7e names 16 characters verify latest version rtp driver 20400000 utah state university logan ut citect site id 7458 support 136754
